,movie_show_id,genre_id
0,s1,9b71bb62-3038-4dbc-a1ac-f5c73711bb50
1,s2,10bfc44a-7a66-45d4-8412-958a4ef27de7
2,s2,e20551b8-0895-4fae-85eb-67a2883754fb
3,s2,a996d841-ab49-45c6-a375-834f581f38df
4,s3,923ccbb6-c092-4f6e-b60f-febad82ce089
5,s3,a996d841-ab49-45c6-a375-834f581f38df
6,s3,27278456-cc60-4bf2-b326-dd5e75708100
7,s4,63bd72fa-6b09-4a45-9dc9-7de6505a822c
8,s4,35ae57b1-ba11-41e7-a66c-b8a4f81c5c7a
9,s5,96b30c30-2ded-4fd5-bbcf-769ea438a317
10,s5,c95995c2-28f9-432c-8818-f4054ed9c035
11,s5,a996d841-ab49-45c6-a375-834f581f38df
12,s6,10bfc44a-7a66-45d4-8412-958a4ef27de7
13,s6,a5b5a439-990c-4fd2-9a56-fc726142505a
14,s6,e20551b8-0895-4fae-85eb-67a2883754fb
15,s7,edfddf0f-c274-4726-bcb5-6e72c6c6d12e
16,s8,8bc83fd6-e711-4608-9915-a4c2891f0d5d
17,s8,8b166d9d-3aaf-47d9-81c0-f2e2f9944b71
18,s8,59c20e85-331f-4b7d-b46d-a95b93187043
19,s9,63bd72fa-6b09-4a45-9dc9-7de6505a822c
20,s9,24fdf8d2-c8c0-402a-b3e1-ae8dc4c750dc
21,s10,59c20e85-331f-4b7d-b46d-a95b93187043
22,s10,5500c15b-e40c-4ea6-acc4-30031ea1e614
23,s11,a996d841-ab49-45c6-a375-834f581f38df
24,s11,35ae57b1-ba11-41e7-a66c-b8a4f81c5c7a
25,s11,27278456-cc60-4bf2-b326-dd5e75708100
26,s12,923ccbb6-c092-4f6e-b60f-febad82ce089
27,s12,a996d841-ab49-45c6-a375-834f581f38df
28,s12,27278456-cc60-4bf2-b326-dd5e75708100
29,s13,8bc83fd6-e711-4608-9915-a4c2891f0d5d
30,s13,59c20e85-331f-4b7d-b46d-a95b93187043
31,s14,5500c15b-e40c-4ea6-acc4-30031ea1e614
32,s14,edfddf0f-c274-4726-bcb5-6e72c6c6d12e
33,s15,35ae57b1-ba11-41e7-a66c-b8a4f81c5c7a
34,s15,27278456-cc60-4bf2-b326-dd5e75708100
35,s15,24fdf8d2-c8c0-402a-b3e1-ae8dc4c750dc
36,s16,e20551b8-0895-4fae-85eb-67a2883754fb
37,s16,96b30c30-2ded-4fd5-bbcf-769ea438a317
38,s17,8bc83fd6-e711-4608-9915-a4c2891f0d5d
39,s17,9b71bb62-3038-4dbc-a1ac-f5c73711bb50
40,s18,e20551b8-0895-4fae-85eb-67a2883754fb
41,s18,16a96d43-e11e-49e7-974d-f337c41df36f
42,s18,27278456-cc60-4bf2-b326-dd5e75708100
43,s19,d456b271-1d84-4e19-a8fa-6f1dd9a343d7
44,s20,923ccbb6-c092-4f6e-b60f-febad82ce089
45,s20,16a96d43-e11e-49e7-974d-f337c41df36f
46,s20,a996d841-ab49-45c6-a375-834f581f38df
47,s21,a996d841-ab49-45c6-a375-834f581f38df
48,s21,35ae57b1-ba11-41e7-a66c-b8a4f81c5c7a
49,s21,27278456-cc60-4bf2-b326-dd5e75708100
50,s22,e20551b8-0895-4fae-85eb-67a2883754fb
51,s22,923ccbb6-c092-4f6e-b60f-febad82ce089
52,s22,a996d841-ab49-45c6-a375-834f581f38df
53,s23,8bc83fd6-e711-4608-9915-a4c2891f0d5d
54,s23,5500c15b-e40c-4ea6-acc4-30031ea1e614
55,s24,edfddf0f-c274-4726-bcb5-6e72c6c6d12e
56,s25,88496b7f-e9f5-4765-8e99-2ae75e4bffb4
57,s25,8bc83fd6-e711-4608-9915-a4c2891f0d5d
58,s25,5500c15b-e40c-4ea6-acc4-30031ea1e614
59,s26,63bd72fa-6b09-4a45-9dc9-7de6505a822c
60,s26,a996d841-ab49-45c6-a375-834f581f38df
61,s26,35ae57b1-ba11-41e7-a66c-b8a4f81c5c7a
62,s27,9c487213-eec5-45a0-a038-d49f5eadde91
63,s27,8bc83fd6-e711-4608-9915-a4c2891f0d5d
64,s27,5500c15b-e40c-4ea6-acc4-30031ea1e614
65,s28,5500c15b-e40c-4ea6-acc4-30031ea1e614
66,s29,fa8ec779-c9a1-4b75-8bd6-872115f01b86
67,s29,f416dfdd-4ccc-49d6-ac5b-176f51628226
68,s30,d456b271-1d84-4e19-a8fa-6f1dd9a343d7
69,s31,8bc83fd6-e711-4608-9915-a4c2891f0d5d
70,s31,8b166d9d-3aaf-47d9-81c0-f2e2f9944b71
71,s31,59c20e85-331f-4b7d-b46d-a95b93187043
72,s32,96b30c30-2ded-4fd5-bbcf-769ea438a317
73,s33,96b30c30-2ded-4fd5-bbcf-769ea438a317
74,s33,a996d841-ab49-45c6-a375-834f581f38df
75,s33,24fdf8d2-c8c0-402a-b3e1-ae8dc4c750dc
76,s34,88fd743a-d23c-4ed4-90d4-9aa95ba10714
